Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
O3,FALSE,Bd_P__nanopore_3_T18,1,Unknown,SYBR,25.479675,0.7721395091642810,,Amp,FALSE,0,0,73.34982,,,,,
O4,FALSE,Bd_P__nanopore_4_T18,1,Unknown,SYBR,25.384117,0.8122304216548060,,Amp,FALSE,0,0,73.34982,,,,,
O5,FALSE,Bd_P__nanopore_5_T18,1,Unknown,SYBR,25.022018,0.7006818691561050,,Amp,FALSE,0,0,73.348404,,,,,
O6,FALSE,Bd_sup_pel_P_1_T18,1,Unknown,SYBR,25.812769,0.819435557979258,,Amp,FALSE,0,0,73.348404,,,,,
O7,FALSE,Bd_sup_pel_P_2_T18,1,Unknown,SYBR,26.2475,0.9002784411128880,,Amp,FALSE,0,0,73.348404,,,,,
O8,FALSE,Bd_sup_pel_P_3_T18,1,Unknown,SYBR,26.162848,0.8584624927915840,,Amp,FALSE,0,0,73.348404,,,,,
O9,FALSE,0,1,Unknown,SYBR,32.598263,0.9880929297805110,,Amp,FALSE,0,0,73.23667,,,,,
O10,FALSE,Bd_P__sup_1_T12,1,Unknown,SYBR,25.770788,0.9929751345082750,,Amp,FALSE,0,0,73.34885,,,,,
O11,FALSE,Bd_P__sup_2_T12,1,Unknown,SYBR,25.64166,0.9932392953715930,,Amp,FALSE,0,0,73.34885,,,,,
O12,FALSE,Bd_P__sup_3_T12,1,Unknown,SYBR,25.54286,0.9927938168690710,,Amp,FALSE,0,0,73.34885,,,,,
O13,FALSE,std_-2,1,Unknown,SYBR,8.295458,0.9775079860877510,,Amp,FALSE,0,0,73.01129,,,,,
O14,FALSE,std_-3,1,Unknown,SYBR,11.720142,0.9920454676440460,,Amp,FALSE,0,0,73.01129,,,,,
O15,FALSE,std_-4,1,Unknown,SYBR,15.544594,0.9869803584705950,,Amp,FALSE,0,0,73.01129,,,,,
O16,FALSE,std_-5,1,Unknown,SYBR,18.630745,0.9921836309010880,,Amp,FALSE,0,0,73.01129,,,,,
O17,FALSE,std_-6,1,Unknown,SYBR,21.784348,0.9294497601140200,,Amp,FALSE,0,0,73.01425,,,,,
O18,FALSE,std_-7,1,Unknown,SYBR,26.271927,0.9902007375803210,,Amp,FALSE,0,0,73.12644,,,,,
O19,FALSE,std_-8,1,Unknown,SYBR,28.331615,0.988395716319186,,Amp,FALSE,0,0,73.12644,,,,,
O20,FALSE,std_-9,1,Unknown,SYBR,32.455585,0.9887252637984290,,Amp,FALSE,0,0,73.46301,,,,,
O21,FALSE,std_-10,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,93.32094,,,,,
O22,FALSE,Bd_P__sup_1_T36,1,Unknown,SYBR,25.802423,0.9929396153984100,,Amp,FALSE,0,0,73.46318,,,,,
O23,FALSE,Bd_P__sup_2_T36,1,Unknown,SYBR,25.587276,0.9832098617723320,,Amp,FALSE,0,0,73.46318,,,,,
O24,FALSE,Bd_P__sup_3_T36,1,Unknown,SYBR,25.758244,0.9873576156072120,,Amp,FALSE,0,0,73.46318,,,,,
P1,FALSE,Bd_P__nanopore_1_T18,1,Unknown,SYBR,25.325645,0.6710379072354760,,Amp,FALSE,0,0,73.462006,,,,,
P2,FALSE,Bd_P__nanopore_2_T18,1,Unknown,SYBR,25.818743,0.6944245114691320,,Amp,FALSE,0,0,73.34982,,,,,
P3,FALSE,Bd_P__nanopore_3_T18,1,Unknown,SYBR,24.955166,0.6560637839566610,,Amp,FALSE,0,0,73.34982,,,,,
P4,FALSE,Bd_P__nanopore_4_T18,1,Unknown,SYBR,24.795004,0.6644635096388180,,Amp,FALSE,0,0,73.34982,,,,,
P5,FALSE,Bd_P__nanopore_5_T18,1,Unknown,SYBR,25.313778,0.7234929315895280,,Amp,FALSE,0,0,73.348404,,,,,
P6,FALSE,Bd_sup_pel_P_1_T18,1,Unknown,SYBR,25.97575,0.8311734241504550,,Amp,FALSE,0,0,73.348404,,,,,
P7,FALSE,Bd_sup_pel_P_2_T18,1,Unknown,SYBR,25.904554,0.80233437571502,,Amp,FALSE,0,0,73.348404,,,,,
P8,FALSE,Bd_sup_pel_P_3_T18,1,Unknown,SYBR,25.513243,0.6972281998561700,,Amp,FALSE,0,0,73.23624,,,,,
P9,FALSE,0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,84.34151,,,,,
P10,FALSE,Bd_P__sup_1_T12,1,Unknown,SYBR,25.133858,0.9537487288937070,,Amp,FALSE,0,0,73.34885,,,,,
P11,FALSE,Bd_P__sup_2_T12,1,Unknown,SYBR,25.003578,0.8906503245135340,,Amp,FALSE,0,0,73.23667,,,,,
P12,FALSE,Bd_P__sup_3_T12,1,Unknown,SYBR,25.7239,0.9930001388261650,,Amp,FALSE,0,0,73.23667,,,,,
P13,FALSE,std_-2,1,Unknown,SYBR,7.9979973,0.939173485702789,,Amp,FALSE,0,0,73.01129,,,,,
P14,FALSE,std_-3,1,Unknown,SYBR,11.391035,0.9933180363555610,,Amp,FALSE,0,0,72.89913,,,,,
P15,FALSE,std_-4,1,Unknown,SYBR,14.882599,0.9916521265810580,,Amp,FALSE,0,0,73.01129,,,,,
P16,FALSE,std_-5,1,Unknown,SYBR,18.078098,0.9666112360150050,,Amp,FALSE,0,0,72.89913,,,,,
P17,FALSE,std_-6,1,Unknown,SYBR,21.887579,0.9906010415648490,,Amp,FALSE,0,0,73.01425,,,,,
P18,FALSE,std_-7,1,Unknown,SYBR,26.534876,0.9780353065374010,,Amp,FALSE,0,0,73.12644,,,,,
P19,FALSE,std_-8,1,Unknown,SYBR,28.57372,0.9875239479237700,,Amp,FALSE,0,0,73.23863,62.80511,,,,
P20,FALSE,std_-9,1,Unknown,SYBR,33.03952,0.9857652715322870,,Amp,FALSE,0,0,73.01425,63.814804,,,,
P21,FALSE,std_-10,1,Unknown,SYBR,33.659115,0.981019802604855,,Amp,FALSE,0,0,73.2388,,,,,
P22,FALSE,Bd_P__sup_1_T36,1,Unknown,SYBR,25.734558,0.9903957438377070,,Amp,FALSE,0,0,73.46318,,,,,
P23,FALSE,Bd_P__sup_2_T36,1,Unknown,SYBR,25.467735,0.951016988771606,,Amp,FALSE,0,0,73.46318,,,,,
P24,FALSE,Bd_P__sup_3_T36,1,Unknown,SYBR,25.625086,0.9828557776827190,,Amp,FALSE,0,0,73.46318,,,,,
