Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,
G19,FALSE,water,Target 1,Unknown,SYBR,7.8384104,0,,No Amp,FALSE,0,0,,,,,
G20,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G21,FALSE,0,Target 1,Unknown,SYBR,31.153522,0,,No Amp,FALSE,0,0,,,,,
G22,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G23,FALSE,0,Target 1,Unknown,SYBR,21.096027,0,,No Amp,FALSE,0,0,,,,,
G24,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H1,FALSE,Bd+P_sup_v_pel_1_T24,Target 1,Unknown,SYBR,16.742111,0,,Amp,FALSE,0,0,,,,,
H2,FALSE,Bd+P_sup_v_pel_2_T24,Target 1,Unknown,SYBR,19.825077,0,,Amp,FALSE,0,0,,,,,
H3,FALSE,Bd+P_sup_v_pel_3_T24,Target 1,Unknown,SYBR,17.409706,0,,Amp,FALSE,0,0,,,,,
H4,FALSE,std_-2,Target 1,Unknown,SYBR,9.41602,0.9734830655223380,,Amp,FALSE,0,0,,,,,
H5,FALSE,std_-3,Target 1,Unknown,SYBR,12.22558,0.9843764444661570,,Amp,FALSE,0,0,,,,,
H6,FALSE,std_-4,Target 1,Unknown,SYBR,15.879751,0.9496303043540790,,Amp,FALSE,0,0,,,,,
H7,FALSE,std_-5,Target 1,Unknown,SYBR,21.20941,0.98887526814129,,Amp,FALSE,0,0,,,,,
H8,FALSE,std_-6,Target 1,Unknown,SYBR,25.572184,0.9231587679794220,,Amp,FALSE,0,0,,,,,
H9,FALSE,std_-7,Target 1,Unknown,SYBR,29.127157,0.9893410634420980,,Amp,FALSE,0,0,,,,,
H10,FALSE,std_-8,Target 1,Unknown,SYBR,31.433916,0.991435282632167,,Amp,FALSE,0,0,,,,,
H11,FALSE,std_-9,Target 1,Unknown,SYBR,33.13411,0.9892836329946060,,Amp,FALSE,0,0,,,,,
H12,FALSE,std_-10,Target 1,Unknown,SYBR,33.938393,0.9904888171977060,,Amp,FALSE,0,0,,,,,
H13,FALSE,Bd+P_sup_v_pel_1_T36,Target 1,Unknown,SYBR,17.187613,0,,Amp,FALSE,0,0,,,,,
H14,FALSE,Bd+P_sup_v_pel_2_T36,Target 1,Unknown,SYBR,17.097775,0,,Amp,FALSE,0,0,,,,,
H15,FALSE,Bd+P_sup_v_pel_3_T36,Target 1,Unknown,SYBR,16.681538,0,,Amp,FALSE,0,0,,,,,
H16,FALSE,0,Target 1,Unknown,SYBR,35.926388,0.9100296876342190,,Inconclusive,FALSE,0,0,,,,,
H17,FALSE,std_-11,Target 1,Unknown,SYBR,35.658592,0.973954432265038,,Amp,FALSE,0,0,,,,,
H18,FALSE,std_-12,Target 1,Unknown,SYBR,35.265503,0.9702038156649560,,Amp,FALSE,0,0,,,,,
H19,FALSE,water,Target 1,Unknown,SYBR,17.232134,0,,No Amp,FALSE,0,0,,,,,
H20,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H21,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H22,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H23,FALSE,0,Target 1,Unknown,SYBR,28.051924,0,,No Amp,FALSE,0,0,,,,,
H24,FALSE,0,Target 1,Unknown,SYBR,9.992951,0,,No Amp,FALSE,0,0,,,,,
I1,FALSE,Bv+P_nanopore_1_T24,Target 1,Unknown,SYBR,20.089836,0,,Amp,FALSE,0,0,,,,,
I2,FALSE,Bv+P_nanopore_2_T24,Target 1,Unknown,SYBR,19.366266,0,,Amp,FALSE,0,0,,,,,
I3,FALSE,Bv+P_nanopore_3_T24,Target 1,Unknown,SYBR,19.018639,0,,Amp,FALSE,0,0,,,,,
I4,FALSE,Bv+P_nanopore_4_T24,Target 1,Unknown,SYBR,21.223558,0,,Amp,FALSE,0,0,,,,,
I5,FALSE,Bv+P_nanopore_5_T24,Target 1,Unknown,SYBR,19.633526,0,,Amp,FALSE,0,0,,,,,
I6,FALSE,Bv+P_nanopore_6_T24,Target 1,Unknown,SYBR,21.776205,0,,Amp,FALSE,0,0,,,,,
I7,FALSE,Bv+P_nanopore_7_T24,Target 1,Unknown,SYBR,19.79782,0,,Amp,FALSE,0,0,,,,,
I8,FALSE,Bv+P_nanopore_8_T24,Target 1,Unknown,SYBR,22.434958,0,,Amp,FALSE,0,0,,,,,
I9,FALSE,Bv+P_nanopore_9_T24,Target 1,Unknown,SYBR,22.770327,0,,Amp,FALSE,0,0,,,,,
I10,FALSE,Bv+P_nanopore_10_T24,Target 1,Unknown,SYBR,19.81215,0,,Amp,FALSE,0,0,,,,,
I11,FALSE,Bv+P_nanopore_11_T24,Target 1,Unknown,SYBR,21.68267,0,,Amp,FALSE,0,0,,,,,
I12,FALSE,Bv+P_nanopore_12_T24,Target 1,Unknown,SYBR,22.519665,0.015487564503062400,,Amp,FALSE,0,0,,,,,
I13,FALSE,Bv+P_nanopore_1_T36,Target 1,Unknown,SYBR,24.00146,0.19652410959149000,,Amp,FALSE,0,0,,,,,
I14,FALSE,Bv+P_nanopore_2_T36,Target 1,Unknown,SYBR,25.951815,0.6373811421863240,,Amp,FALSE,0,0,,,,,
I15,FALSE,Bv+P_nanopore_3_T36,Target 1,Unknown,SYBR,22.52315,0,,Amp,FALSE,0,0,,,,,
I16,FALSE,Bv+P_nanopore_4_T36,Target 1,Unknown,SYBR,21.720304,0,,Amp,FALSE,0,0,,,,,
I17,FALSE,Bv+P_nanopore_5_T36,Target 1,Unknown,SYBR,22.0165,0,,Amp,FALSE,0,0,,,,,
I18,FALSE,Bv+P_nanopore_6_T36,Target 1,Unknown,SYBR,21.00099,0,,Amp,FALSE,0,0,,,,,
I19,FALSE,Bv+P_nanopore_7_T36,Target 1,Unknown,SYBR,21.511042,0,,Amp,FALSE,0,0,,,,,
I20,FALSE,Bv+P_nanopore_8_T36,Target 1,Unknown,SYBR,22.774372,0,,Amp,FALSE,0,0,,,,,
I21,FALSE,Bv+P_nanopore_9_T36,Target 1,Unknown,SYBR,22.798925,0,,Amp,FALSE,0,0,,,,,
I22,FALSE,Bv+P_nanopore_10_T36,Target 1,Unknown,SYBR,19.234497,0,,Amp,FALSE,0,0,,,,,
