Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,
E17,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E18,FALSE,0,Target 1,Unknown,SYBR,12.43819,0,,No Amp,FALSE,0,0,,,,,
E19,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E20,FALSE,0,Target 1,Unknown,SYBR,7.8579373,0.1294111518311780,,No Amp,FALSE,0,0,,,,,
E21,FALSE,0,Target 1,Unknown,SYBR,26.024416,0.1679358785755670,,No Amp,FALSE,0,0,,,,,
E22,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E23,FALSE,0,Target 1,Unknown,SYBR,36.308167,0,,No Amp,FALSE,0,0,,,,,
E24,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F1,FALSE,std_-2,Target 1,Unknown,SYBR,9.787286,0.9718844358367210,,Amp,FALSE,0,0,,,,,
F2,FALSE,std_-3,Target 1,Unknown,SYBR,13.504406,0.9815811392211870,,Amp,FALSE,0,0,,,,,
F3,FALSE,std_-4,Target 1,Unknown,SYBR,17.736547,0.9631347397673480,,Amp,FALSE,0,0,,,,,
F4,FALSE,std_-5,Target 1,Unknown,SYBR,20.928408,0.9893048191904110,,Amp,FALSE,0,0,,,,,
F5,FALSE,std_-6,Target 1,Unknown,SYBR,28.25049,0.950050980953181,,Amp,FALSE,0,0,,,,,
F6,FALSE,std_-7,Target 1,Unknown,SYBR,29.80337,0.989168186855481,,Amp,FALSE,0,0,,,,,
F7,FALSE,std_-8,Target 1,Unknown,SYBR,32.768375,0.9881309289579320,,Amp,FALSE,0,0,,,,,
F8,FALSE,std_-9,Target 1,Unknown,SYBR,36.804657,0.7224797540564410,,Inconclusive,FALSE,0,0,,,,,
F9,FALSE,std_-10,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F10,FALSE,std_-11,Target 1,Unknown,SYBR,37.557537,0.7665361792439170,,Inconclusive,FALSE,0,0,,,,,
F11,FALSE,std_-12,Target 1,Unknown,SYBR,35.253876,0.9824472101039240,,Amp,FALSE,0,0,,,,,
F12,FALSE,water,Target 1,Unknown,SYBR,34.282978,0.9894761443378520,,Amp,FALSE,0,0,,,,,
F13,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F14,FALSE,0,Target 1,Unknown,SYBR,32.426266,0,,No Amp,FALSE,0,0,,,,,
F15,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F16,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F17,FALSE,0,Target 1,Unknown,SYBR,32.801796,0,,No Amp,FALSE,0,0,,,,,
F18,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F19,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F20,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F21,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F22,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F23,FALSE,0,Target 1,Unknown,SYBR,30.410698,0,,No Amp,FALSE,0,0,,,,,
F24,FALSE,0,Target 1,Unknown,SYBR,18.774666,0,,No Amp,FALSE,0,0,,,,,
G1,FALSE,0,Target 1,Unknown,SYBR,8.531062,0.7573052673559710,,No Amp,FALSE,0,0,,,,,
G2,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G3,FALSE,0,Target 1,Unknown,SYBR,19.519157,0,,No Amp,FALSE,0,0,,,,,
G4,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G5,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G6,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G7,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G8,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G9,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G10,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G11,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G12,FALSE,0,Target 1,Unknown,SYBR,33.90813,0,,No Amp,FALSE,0,0,,,,,
G13,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G14,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,Inconclusive,FALSE,0,0,,,,,
G15,FALSE,0,Target 1,Unknown,SYBR,7.1883044,0,,No Amp,FALSE,0,0,,,,,
G16,FALSE,0,Target 1,Unknown,SYBR,22.149363,0,,No Amp,FALSE,0,0,,,,,
G17,FALSE,0,Target 1,Unknown,SYBR,25.19835,0.1822769369498860,,No Amp,FALSE,0,0,,,,,
G18,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G19,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G20,FALSE,0,Target 1,Unknown,SYBR,37.343594,0.18078480570697100,,No Amp,FALSE,0,0,,,,,
G21,FALSE,0,Target 1,Unknown,SYBR,19.655134,0,,No Amp,FALSE,0,0,,,,,
G22,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G23,FALSE,0,Target 1,Unknown,SYBR,18.980692,0,,No Amp,FALSE,0,0,,,,,
G24,FALSE,0,Target 1,Unknown,SYBR,4.130424,0,,No Amp,FALSE,0,0,,,,,
H1,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H2,FALSE,0,Target 1,Unknown,SYBR,27.510643,0,,No Amp,FALSE,0,0,,,,,
H3,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H4,FALSE,0,Target 1,Unknown,SYBR,9.678172,0,,No Amp,FALSE,0,0,,,,,
H5,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H6,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H7,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H8,FALSE,0,Target 1,Unknown,SYBR,30.055824,0,,No Amp,FALSE,0,0,,,,,
H9,FALSE,0,Target 1,Unknown,SYBR,19.522184,0.3986685316765330,,No Amp,FALSE,0,0,,,,,
H10,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H11,FALSE,0,Target 1,Unknown,SYBR,13.219839,0,,No Amp,FALSE,0,0,,,,,
H12,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H13,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H14,FALSE,0,Target 1,Unknown,SYBR,12.601266,0.664512794050217,,No Amp,FALSE,0,0,,,,,
H15,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H16,FALSE,0,Target 1,Unknown,SYBR,29.158272,0,,No Amp,FALSE,0,0,,,,,
H17,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H18,FALSE,0,Target 1,Unknown,SYBR,19.3412,0,,No Amp,FALSE,0,0,,,,,
H19,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H20,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H21,FALSE,0,Target 1,Unknown,SYBR,15.081562,0,,No Amp,FALSE,0,0,,,,,
H22,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H23,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
H24,FALSE,0,Target 1,Unknown,SYBR,9.761062,0.09230653930577830,,No Amp,FALSE,0,0,,,,,
I1,FALSE,0,Target 1,Unknown,SYBR,24.965824,0,,No Amp,FALSE,0,0,,,,,
I2,FALSE,0,Target 1,Unknown,SYBR,29.165014,0.03830804513364890,,No Amp,FALSE,0,0,,,,,
I3,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I4,FALSE,0,Target 1,Unknown,SYBR,16.630344,0,,No Amp,FALSE,0,0,,,,,
I5,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I6,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I7,FALSE,0,Target 1,Unknown,SYBR,22.3185,0,,No Amp,FALSE,0,0,,,,,
I8,FALSE,0,Target 1,Unknown,SYBR,8.577856,0.2136937464254650,,No Amp,FALSE,0,0,,,,,
I9,FALSE,0,Target 1,Unknown,SYBR,23.40265,0.28165388874517300,,No Amp,FALSE,0,0,,,,,
I10,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I11,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I12,FALSE,0,Target 1,Unknown,SYBR,14.166357,0.5166206578520550,,No Amp,FALSE,0,0,,,,,
I13,FALSE,0,Target 1,Unknown,SYBR,21.874819,0,,No Amp,FALSE,0,0,,,,,
I14,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I15,FALSE,0,Target 1,Unknown,SYBR,29.680552,0,,No Amp,FALSE,0,0,,,,,
I16,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I17,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I18,FALSE,0,Target 1,Unknown,SYBR,35.21009,0,,No Amp,FALSE,0,0,,,,,
I19,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I20,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I21,FALSE,0,Target 1,Unknown,SYBR,32.079025,0,,No Amp,FALSE,0,0,,,,,
I22,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I23,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
I24,FALSE,0,Target 1,Unknown,SYBR,35.42849,0,,No Amp,FALSE,0,0,,,,,
