Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,,
C18,FALSE,Bv+P_sup_3_T0,Target 1,Unknown,SYBR,31.634289,0.9870860630128360,,Amp,FALSE,0,0,,,,,,
C19,FALSE,Bd_sup_1_T0,Target 1,Unknown,SYBR,35.822094,0.9534495051246650,,Amp,FALSE,0,0,,,,,,
C20,FALSE,Bd_sup_2_T0,Target 1,Unknown,SYBR,37.920662,0.9158271971878180,,Amp,FALSE,0,0,,,,,,
C21,FALSE,Bd_sup_3_T0,Target 1,Unknown,SYBR,36.063286,0.9518634966662800,,Amp,FALSE,0,0,,,,,,
C22,FALSE,Bd+P_sup_1_T0,Target 1,Unknown,SYBR,32.08319,0.9819636054605130,,Amp,FALSE,0,0,,,,,,
C23,FALSE,Bd+P_sup_2_T0,Target 1,Unknown,SYBR,31.622715,0.9760403350549890,,Amp,FALSE,0,0,,,,,,
C24,FALSE,Bd+P_sup_3_T0,Target 1,Unknown,SYBR,31.444351,0.8745988561573180,,Amp,FALSE,0,0,,,,,,
D1,FALSE,Bv+P_DNase_1_T44,Target 1,Unknown,SYBR,31.370815,0.47999776585942200,,Amp,FALSE,0,0,,,,,,
D2,FALSE,Bv+P_DNase_2_T44,Target 1,Unknown,SYBR,32.58661,0.7857862175858980,,Inconclusive,FALSE,0,0,,,,,,
D3,FALSE,Bv+P_DNase_3_T44,Target 1,Unknown,SYBR,33.386578,0.7955112006301120,,Inconclusive,FALSE,0,0,,,,,,
D4,FALSE,Bd+P_DNase_1_T44,Target 1,Unknown,SYBR,21.04958,0,,Amp,FALSE,0,0,,,,,,
D5,FALSE,Bd+P_DNase_2_T44,Target 1,Unknown,SYBR,19.397085,0,,Amp,FALSE,0,0,,,,,,
D6,FALSE,Bd+P_DNase_3_T44,Target 1,Unknown,SYBR,19.067997,0,,Amp,FALSE,0,0,,,,,,
D7,FALSE,media_1_T44,Target 1,Unknown,SYBR,37.89784,0.9408338487804070,,Inconclusive,FALSE,0,0,,,,,,
