Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,,
D18,FALSE,Bd+P_DNase_3_T12,Bd+P_DNase_3_T12,Unknown,SYBR,24.859522,0.15513232878898800,,Amp,FALSE,0,0,,,,,,
D19,FALSE,media_1_T12,media_1_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
D20,FALSE,media_2_T12,media_2_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
D21,FALSE,media_3_T12,media_3_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
D22,FALSE,media+P_1_T12,media+P_1_T12,Unknown,SYBR,30.793327,0.9731693201891000,,Amp,FALSE,0,0,,,,,,
D23,FALSE,media+P_2_T12,media+P_2_T12,Unknown,SYBR,29.931597,0.9852458628018270,,Amp,FALSE,0,0,,,,,,
D24,FALSE,media+P_3_T12,media+P_3_T12,Unknown,SYBR,31.635336,0.9204261248064050,,Amp,FALSE,0,0,,,,,,
E1,FALSE,media+P_DNase_1_T0,media+P_DNase_1_T0,Unknown,SYBR,33.73426,0.9187817438636160,,Amp,FALSE,0,0,,,,,,
E2,FALSE,media+P_DNase_2_T0,media+P_DNase_2_T0,Unknown,SYBR,34.756042,0.9639701962456600,,Amp,FALSE,0,0,,,,,,
E3,FALSE,media+P_DNase_3_T0,media+P_DNase_3_T0,Unknown,SYBR,34.754044,0.8166375581219160,,Amp,FALSE,0,0,,,,,,
E4,FALSE,Bv_sup_v_pel_1_T0,Bv_sup_v_pel_1_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E5,FALSE,Bv_sup_v_pel_2_T0,Bv_sup_v_pel_2_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E6,FALSE,Bv_sup_v_pel_3_T0,Bv_sup_v_pel_3_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E7,FALSE,Bv+P_sup_v_pel_1_T0,Bv+P_sup_v_pel_1_T0,Unknown,SYBR,28.221392,0.9858284675245630,,Amp,FALSE,0,0,,,,,,
E8,FALSE,Bv+P_sup_v_pel_2_T0,Bv+P_sup_v_pel_2_T0,Unknown,SYBR,28.075912,0.9888797244775040,,Amp,FALSE,0,0,,,,,,
E9,FALSE,Bv+P_sup_v_pel_3_T0,Bv+P_sup_v_pel_3_T0,Unknown,SYBR,27.75485,0.9909940700696560,,Amp,FALSE,0,0,,,,,,
E10,FALSE,Bd_sup_v_pel_1_T0,Bd_sup_v_pel_1_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E11,FALSE,Bd_sup_v_pel_2_T0,Bd_sup_v_pel_2_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E12,FALSE,Bd_sup_v_pel_3_T0,Bd_sup_v_pel_3_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E13,FALSE,media+P_DNase_1_T12,media+P_DNase_1_T12,Unknown,SYBR,32.963844,0.9810496345466940,,Amp,FALSE,0,0,,,,,,
E14,FALSE,media+P_DNase_2_T12,media+P_DNase_2_T12,Unknown,SYBR,32.37479,0.9836171771185410,,Amp,FALSE,0,0,,,,,,
E15,FALSE,media+P_DNase_3_T12,media+P_DNase_3_T12,Unknown,SYBR,32.91707,0.987757884013699,,Amp,FALSE,0,0,,,,,,
E16,FALSE,Bv_sup_v_pel_1_T12,Bv_sup_v_pel_1_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E17,FALSE,Bv_sup_v_pel_2_T12,Bv_sup_v_pel_2_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E18,FALSE,Bv_sup_v_pel_3_T12,Bv_sup_v_pel_3_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E19,FALSE,Bv+P_sup_v_pel_1_T12,Bv+P_sup_v_pel_1_T12,Unknown,SYBR,25.221746,0.526909409981028,,Amp,FALSE,0,0,,,,,,
E20,FALSE,Bv+P_sup_v_pel_2_T12,Bv+P_sup_v_pel_2_T12,Unknown,SYBR,25.797905,0.6737161771960790,,Amp,FALSE,0,0,,,,,,
E21,FALSE,Bv+P_sup_v_pel_3_T12,Bv+P_sup_v_pel_3_T12,Unknown,SYBR,23.057829,0,,Amp,FALSE,0,0,,,,,,
E22,FALSE,Bd_sup_v_pel_1_T12,Bd_sup_v_pel_1_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E23,FALSE,Bd_sup_v_pel_2_T12,Bd_sup_v_pel_2_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E24,FALSE,Bd_sup_v_pel_3_T12,Bd_sup_v_pel_3_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F1,FALSE,media+P_DNase_1_T0,media+P_DNase_1_T0,Unknown,SYBR,33.528652,0.9740158473845090,,Amp,FALSE,0,0,,,,,,
F2,FALSE,media+P_DNase_2_T0,media+P_DNase_2_T0,Unknown,SYBR,34.978905,0.838785638886373,,Amp,FALSE,0,0,,,,,,
